Symbol,TokenAddress,TimeStamp,MovementType,Quantity,Countervalue,SymbolCountervalue,SourceCountervalue,SourceSymbolCountervalue
EUR,,2022-11-11 12:50:55,DEBIT,-24.9499584,-24.9499584,EUR,,
BTC,,2022-11-12 03:28:23,EARN,0.00000102,0,EUR,0,USD
BTC,,2022-11-12 07:12:01,CREDIT,0.00152,24.729426964112512124151309408341416101,EUR,,
EUR,,2022-11-12 07:12:01,DEBIT,-24.8542421,-24.8542421,EUR,,
BTC,,2022-11-13 03:55:48,EARN,0.00000104,0,EUR,0,USD
BTC,,2022-11-14 04:41:12,EARN,0.00000106,0,EUR,0,USD
BTC,,2022-11-15 04:15:36,EARN,0.00000106,0,EUR,0,USD
BTC,,2022-11-16 03:54:02,EARN,0.00000106,0,EUR,0,USD
BTC,,2022-11-17 04:08:07,EARN,0.00000106,0,EUR,0,USD
BTC,,2022-11-18 03:58:07,EARN,0.00000106,0,EUR,0,USD
BTC,,2022-11-18 07:18:20,CREDIT,0.00465,75.036947064485081809432146294513955727,EUR,,
EUR,,2022-11-18 07:18:20,DEBIT,-75.0975,-75.0975,EUR,,
ETH,,2022-11-18 07:19:20,CREDIT,0.0215,25.210871029836381135707410972088546679,EUR,,
BNB,,2022-11-18 07:19:20,EXCHANGE_FEE,-0.00007204,-0.018919175337186897880539499036608863,EUR,,
EUR,,2022-11-18 07:19:20,DEBIT,-25.2195,-25.2195,EUR,,
BTC,,2022-11-19 03:57:44,EARN,0.00000106,0,EUR,0,USD
BTC,,2022-11-20 02:51:29,EARN,0.00000112,0,EUR,0,USD
BTC,,2022-11-21 03:59:10,EARN,0.00000112,0,EUR,0,USD
BTC,,2022-11-22 03:19:00,EARN,0.00000112,0,EUR,0,USD
BTC,,2022-11-23 03:59:28,EARN,0.00000112,0,EUR,0,USD
BTC,,2022-11-24 04:15:08,EARN,0.00000112,0,EUR,0,USD
BTC,,2022-11-25 04:26:16,EARN,0.00000112,0,EUR,0,USD
ETH,,2022-11-25 06:51:05,CREDIT,0.0441,49.959120921305182341650671785028790787,EUR,,
BNB,,2022-11-25 06:51:05,EXCHANGE_FEE,-0.00013166,-0.03746371401151631477927063339731286,EUR,,
EUR,,2022-11-25 06:51:05,DEBIT,-49.967505,-49.967505,EUR,,
BTC,,2022-11-25 06:53:08,CREDIT,0.00635,100.044676583493282149712092130518234165,EUR,,
EUR,,2022-11-25 06:53:08,DEBIT,-100.0317405,-100.0317405,EUR,,
BTC,,2022-11-26 03:45:36,EARN,0.00000112,0,EUR,0,USD
BTC,,2022-11-27 04:09:42,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-11-28 03:05:47,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-11-29 03:22:00,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-11-30 03:35:42,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-12-01 04:16:36,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-12-02 04:41:19,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-12-03 04:06:58,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-12-04 04:02:16,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-12-05 04:42:26,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-12-06 03:39:14,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-12-07 04:25:40,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-12-08 03:07:44,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-12-09 04:27:38,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-12-10 03:29:46,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-12-11 04:20:14,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-12-12 03:57:28,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-12-13 03:20:17,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-12-14 03:06:45,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-12-15 03:55:55,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-12-16 03:51:49,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-12-17 03:59:20,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-12-18 03:57:40,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-12-19 04:50:25,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-12-20 03:05:49,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-12-21 04:34:22,EARN,0.00000121,0,EUR,0,USD
BTC,,2022-12-22 03:33:51,EARN,0.00000081,0,EUR,0,USD
BTC,,2022-12-23 03:42:40,EARN,0.00000081,0,EUR,0,USD
BTC,,2022-12-24 04:16:45,EARN,0.00000081,0,EUR,0,USD
BTC,,2022-12-25 04:15:24,EARN,0.00000081,0,EUR,0,USD
BTC,,2022-12-26 03:05:57,EARN,0.00000081,0,EUR,0,USD
BTC,,2022-12-27 04:22:41,EARN,0.00000081,0,EUR,0,USD
BTC,,2022-12-28 03:37:57,EARN,0.00000081,0,EUR,0,USD
BTC,,2022-12-29 03:56:04,EARN,0.00000081,0,EUR,0,USD
BTC,,2022-12-30 03:04:20,EARN,0.00000081,0,EUR,0,USD
BTC,,2022-12-31 04:00:56,EARN,0.00000081,0,EUR,0,USD
BTC,,2023-01-01 03:05:33,EARN,0.00000081,0,EUR,0,USD
BTC,,2023-01-02 03:46:45,EARN,0.00000081,0,EUR,0,USD
BTC,,2023-01-03 03:19:20,EARN,0.00000081,0,EUR,0,USD
BTC,,2023-01-04 03:05:01,EARN,0.00000081,0,EUR,0,USD
BTC,,2023-01-05 04:15:35,EARN,0.00000081,0,EUR,0,USD
EUR,,2023-01-05 09:44:34,CREDIT,1500,1.5E+3,EUR,,
BTC,,2023-01-06 03:34:34,EARN,0.00000081,0,EUR,0,USD
BTC,,2023-01-07 04:07:40,EARN,0.00000081,0,EUR,0,USD
BTC,,2023-01-08 04:23:51,EARN,0.00000081,0,EUR,0,USD
BTC,,2023-01-09 03:58:25,EARN,0.00000081,0,EUR,0,USD
BTC,,2023-01-10 04:53:51,EARN,0.00000081,0,EUR,0,USD
BTC,,2023-01-11 04:11:49,EARN,0.00000081,0,EUR,0,USD
BTC,,2023-01-12 03:07:34,EARN,0.00000081,0,EUR,0,USD
BTC,,2023-01-13 03:37:35,EARN,0.00000081,0,EUR,0,USD
BTC,,2023-01-14 05:01:59,EARN,0.00000081,0,EUR,0,USD
BTC,,2023-01-15 04:04:03,EARN,0.00000081,0,EUR,0,USD
BTC,,2023-01-16 03:42:36,EARN,0.00000081,0,EUR,0,USD
BTC,,2023-01-17 04:33:50,EARN,0.00000081,0,EUR,0,USD
BTC,,2023-01-18 03:48:02,EARN,0.00000081,0,EUR,0,USD
BTC,,2023-01-19 03:23:50,EARN,0.00000081,0,EUR,0,USD
BTC,,2023-01-20 04:30:49,EARN,0.00000081,0,EUR,0,USD
BTC,,2023-01-21 03:09:13,EARN,0.00000081,0,EUR,0,USD
BTC,,2023-01-22 04:01:08,EARN,0.00000081,0,EUR,0,USD
BTC,,2023-01-23 03:26:53,EARN,0.00000081,0,EUR,0,USD
ETH,,2023-01-23 13:51:59,CREDIT,0.0537,79.97888121546961325966850828729281768,EUR,,
BNB,,2023-01-23 13:51:59,EXCHANGE_FEE,-0.00021548,-0.0600705064456721915285451197053407,EUR,,
EUR,,2023-01-23 13:51:59,DEBIT,-79.9593,-79.9593,EUR,,
BTC,,2023-01-24 03:43:23,EARN,0.00000081,0,EUR,0,USD
USDT,,2023-01-24 16:31:32,CREDIT,786.4894752,722.876355882352941176470588235294117508,EUR,,
BTC,,2023-01-24 16:31:32,DEBIT,-0.03432,-723.483280956761729530818767249310027599,EUR,,
BTC,,2023-01-26 03:05:08,EARN,0.00000057,0,EUR,0,USD
ETH,,2023-01-26 03:27:33,EARN,0.00000697,0,EUR,0,USD
BTC,,2023-01-26 16:32:09,CREDIT,0.01179,250.077744331797235023041474654377880184,EUR,,
EUR,,2023-01-26 16:32:09,DEBIT,-249948,-249948,EUR,,
BTC,,2023-01-26 16:45:15,CREDIT,0.0214768,454.939732022099447513812154696132596685,EUR,,
BNB,,2023-01-26 16:45:15,EXCHANGE_FEE,-0.00121621,-0.342229847053406998158379373848987109,EUR,,
